direction,feature_arm,model,source_subject_macro_f1
mendeley_to_grabmyo,TD8,lda_shrinkage,1.0
mendeley_to_grabmyo,TD8,logistic_regression,1.0
mendeley_to_grabmyo,TD8,linear_svm,1.0
mendeley_to_grabmyo,TD8,random_forest,1.0
mendeley_to_grabmyo,SP6,lda_shrinkage,1.0
mendeley_to_grabmyo,SP6,logistic_regression,1.0
mendeley_to_grabmyo,SP6,linear_svm,1.0
mendeley_to_grabmyo,SP6,random_forest,1.0
mendeley_to_grabmyo,ALL14,lda_shrinkage,1.0
mendeley_to_grabmyo,ALL14,logistic_regression,1.0
mendeley_to_grabmyo,ALL14,linear_svm,1.0
mendeley_to_grabmyo,ALL14,random_forest,1.0
grabmyo_to_mendeley,TD8,lda_shrinkage,1.0
grabmyo_to_mendeley,TD8,logistic_regression,1.0
grabmyo_to_mendeley,TD8,linear_svm,1.0
grabmyo_to_mendeley,TD8,random_forest,1.0
grabmyo_to_mendeley,SP6,lda_shrinkage,1.0
grabmyo_to_mendeley,SP6,logistic_regression,1.0
grabmyo_to_mendeley,SP6,linear_svm,1.0
grabmyo_to_mendeley,SP6,random_forest,1.0
grabmyo_to_mendeley,ALL14,lda_shrinkage,1.0
grabmyo_to_mendeley,ALL14,logistic_regression,1.0
grabmyo_to_mendeley,ALL14,linear_svm,1.0
grabmyo_to_mendeley,ALL14,random_forest,1.0
