rank,candidate_id,feature_arm,model_name,feature_dimension,oof_window_macro_f1,oof_window_balanced_accuracy,oof_trial_macro_f1,oof_trial_balanced_accuracy,oof_trial_accuracy,mean_fold_trial_macro_f1,std_fold_trial_macro_f1,elapsed_seconds
1,F-ALL14__linear_svm,F-ALL14,linear_svm,224,0.9470826269493727,0.9471288515406163,0.9824917282762433,0.9824929971988796,0.9824929971988795,0.9829642676947087,0.010144240856036364,1806.238916873
2,F-NO-MOMENTS12__logistic_regression,F-NO-MOMENTS12,logistic_regression,192,0.9477138440764978,0.9477124183006536,0.9810858930767059,0.98109243697479,0.9810924369747899,0.9814307615587093,0.009722076272803833,430.5377767309992
3,F-NO-MOMENTS12__linear_svm,F-NO-MOMENTS12,linear_svm,192,0.9470198980389726,0.9470704948646126,0.9810825068088478,0.98109243697479,0.9810924369747899,0.9814902963665704,0.009792316093426666,1335.604703934
4,F-ALL14__logistic_regression,F-ALL14,logistic_regression,224,0.9466367403418492,0.9466182306255836,0.9796914505891197,0.9796918767507004,0.9796918767507002,0.9800840319433318,0.008939824306748683,425.88615455299987
5,F-SP6__logistic_regression,F-SP6,logistic_regression,96,0.9310961424278639,0.9310369981325863,0.9712620264078954,0.9712885154061626,0.9712885154061625,0.9714223811727729,0.006345956742830687,376.395606821
6,F-SP6__linear_svm,F-SP6,linear_svm,96,0.9240237980406355,0.9239612511671335,0.9695373059399329,0.9695378151260505,0.9695378151260504,0.9698627645791944,0.011251060905901559,492.32915741900024
7,F-TD8__linear_svm,F-TD8,linear_svm,128,0.927247230531503,0.9276669000933707,0.9673746657063682,0.9674369747899159,0.967436974789916,0.9679007714320436,0.009573554304424626,318.70149551500015
8,F-TD8__logistic_regression,F-TD8,logistic_regression,128,0.9270273272294929,0.9271927521008403,0.9649668927940787,0.964985994397759,0.9649859943977591,0.9657627623760587,0.012691959220608501,348.01058052400003
9,F-ALL14__lda_shrinkage,F-ALL14,lda_shrinkage,224,0.9187120345964886,0.9177316760037348,0.9605665935898942,0.9604341736694677,0.9604341736694678,0.9609805177426811,0.014914051258834184,24.11742635099972
10,F-NO-MOMENTS12__lda_shrinkage,F-NO-MOMENTS12,lda_shrinkage,192,0.9114009632268916,0.9101598972922502,0.9530113541846396,0.9527310924369747,0.9527310924369747,0.9532866640149946,0.013727567701051916,19.355190617000517
11,F-TD8__lda_shrinkage,F-TD8,lda_shrinkage,128,0.8462151629161359,0.8435822245564892,0.925277846377742,0.9247198879551821,0.9247198879551821,0.9266766194839414,0.030220105889052856,16.04115577799996
12,F-SP6__lda_shrinkage,F-SP6,lda_shrinkage,96,0.8211221514871915,0.8182116596638656,0.8928063074304681,0.892156862745098,0.8921568627450981,0.8924806773788936,0.03515881283149116,15.173307903000023
13,F-TD8__dummy_most_frequent,F-TD8,dummy_most_frequent,128,0.1,0.25,0.1,0.25,0.25,0.1,0.0,8.719135874000017
14,F-SP6__dummy_most_frequent,F-SP6,dummy_most_frequent,96,0.1,0.25,0.1,0.25,0.25,0.1,0.0,9.717924608000203
15,F-ALL14__dummy_most_frequent,F-ALL14,dummy_most_frequent,224,0.1,0.25,0.1,0.25,0.25,0.1,0.0,6.212250955999934
16,F-NO-MOMENTS12__dummy_most_frequent,F-NO-MOMENTS12,dummy_most_frequent,192,0.1,0.25,0.1,0.25,0.25,0.1,0.0,8.52507741699992
