subject_id,fold,role
1,0,oof_holdout
6,0,oof_holdout
14,0,oof_holdout
19,0,oof_holdout
24,0,oof_holdout
32,0,oof_holdout
40,0,oof_holdout
3,1,oof_holdout
7,1,oof_holdout
15,1,oof_holdout
20,1,oof_holdout
28,1,oof_holdout
37,1,oof_holdout
43,1,oof_holdout
4,2,oof_holdout
8,2,oof_holdout
16,2,oof_holdout
18,2,oof_holdout
30,2,oof_holdout
38,2,oof_holdout
2,3,oof_holdout
9,3,oof_holdout
17,3,oof_holdout
21,3,oof_holdout
27,3,oof_holdout
36,3,oof_holdout
42,3,oof_holdout
5,4,oof_holdout
10,4,oof_holdout
11,4,oof_holdout
22,4,oof_holdout
23,4,oof_holdout
31,4,oof_holdout
39,4,oof_holdout
