subject_id,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,cohen_kappa,n_samples
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
2,0.9880952380952381,0.9880952380952381,0.9880884855360181,0.9880884855360181,0.9886363636363636,0.9880952380952381,0.9841269841269842,84
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
4,0.9880952380952381,0.9880952380952381,0.9880884855360181,0.9880884855360181,0.9886363636363636,0.9880952380952381,0.9841269841269842,84
5,0.9642857142857143,0.9642857142857143,0.9642441860465116,0.9642441860465115,0.9659090909090909,0.9642857142857143,0.9523809523809523,84
6,0.9880952380952381,0.9880952380952381,0.9880884855360181,0.9880884855360181,0.9886363636363636,0.9880952380952381,0.9841269841269842,84
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
11,0.9761904761904762,0.9761904761904762,0.9764412416851441,0.9764412416851442,0.9782608695652174,0.9761904761904762,0.9682539682539683,84
14,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.9142857142857143,0.9375,0.9166666666666666,0.8888888888888888,84
15,0.9642857142857143,0.9642857142857143,0.9635916409172223,0.9635916409172223,0.966897233201581,0.9642857142857143,0.9523809523809523,84
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
17,0.9523809523809523,0.9523809523809523,0.9519450800915332,0.9519450800915331,0.96,0.9523809523809523,0.9365079365079365,84
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
20,0.8333333333333334,0.8333333333333334,0.8125,0.8125,0.9,0.8333333333333334,0.7777777777777778,84
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
24,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.9142857142857143,0.9375,0.9166666666666666,0.8888888888888888,84
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
39,0.9404761904761905,0.9404761904761905,0.9395933014354066,0.9395933014354066,0.9456521739130435,0.9404761904761905,0.9206349206349207,84
40,0.9880952380952381,0.9880952380952381,0.9880884855360181,0.9880884855360181,0.9886363636363636,0.9880952380952381,0.9841269841269842,84
42,0.9880952380952381,0.9880952380952381,0.9880884855360181,0.9880884855360181,0.9886363636363636,0.9880952380952381,0.9841269841269842,84
43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84
