rank,k,candidate_index,policy_id,distance_metric,subject_prototype_weight,personalization_blend_weight,temperature,selection_scope,episode_count,subject_count,seed_count,p0_macro_f1_mean,p1_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_p10,delta_macro_f1_std,p1_balanced_accuracy_mean,harm_episode_fraction,elapsed_seconds
1,2,31,k2-policy31,sqeuclidean,1.0,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9951728002577394,0.0004712520876313983,0.0,0.0028938209716830626,0.9952205882352941,0.010294117647058823,38.95152229600035
2,2,25,k2-policy25,sqeuclidean,0.75,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9949632647046441,0.00026171653453600736,0.0,0.0021696231053565545,0.9950105042016807,0.0058823529411764705,40.384773141000096
3,2,19,k2-policy19,sqeuclidean,0.5,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9947280444744948,2.649630438677089e-05,0.0,0.0006904308547857672,0.9947741596638657,0.0,40.02200724600016
4,2,13,k2-policy13,cosine,1.0,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9946561719422659,-4.537622784203747e-05,0.0,0.0012519406887168763,0.994721638655462,0.030882352941176472,40.34331374600015
5,2,7,k2-policy07,cosine,0.75,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9946298778997448,-7.167027036326052e-05,0.0,0.001426328853910443,0.9946953781512604,0.03235294117647059,40.185105382000074
6,2,30,k2-policy30,sqeuclidean,1.0,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9944348419858136,-0.00026670618429435497,0.0,0.004923335648360987,0.9944852941176471,0.06911764705882353,39.565079119000075
7,2,24,k2-policy24,sqeuclidean,0.75,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9944021435523432,-0.0002994046177648881,0.0,0.00490457686248859,0.9944590336134455,0.06764705882352941,40.294299940999736
8,2,18,k2-policy18,sqeuclidean,0.5,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9943390270414662,-0.000362521128641982,0.0,0.00465583636152649,0.994406512605042,0.04852941176470588,39.162663866
9,2,1,k2-policy01,cosine,0.5,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9939318186567933,-0.0007697295133146694,0.0,0.004607931143193641,0.994012605042017,0.058823529411764705,40.16770580499997
10,2,33,k2-policy33,sqeuclidean,1.0,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9937820347083867,-0.0009195134617213072,0.0,0.00951781620721952,0.9938287815126052,0.08970588235294118,39.72267512999997
11,2,27,k2-policy27,sqeuclidean,0.75,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9935595953373232,-0.001141952832784895,0.0,0.009688855753794696,0.9936186974789915,0.0838235294117647,38.87367165199976
12,2,21,k2-policy21,sqeuclidean,0.5,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9930709096532423,-0.0016306385168656475,0.0,0.01049740580417302,0.9931460084033614,0.08235294117647059,39.600184591000016
13,2,12,k2-policy12,cosine,1.0,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9929644274158748,-0.001737120754233135,0.0,0.007644253830035651,0.9930672268907563,0.09558823529411764,39.39758633499969
14,2,6,k2-policy06,cosine,0.75,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9927403970382402,-0.001961151131867866,0.0,0.00915151984144334,0.992857142857143,0.09558823529411764,38.6906963739998
15,2,0,k2-policy00,cosine,0.5,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9917444466811235,-0.0029571014889843857,-0.0005519065863892614,0.011861978027172794,0.9918855042016805,0.1161764705882353,40.1314919890001
16,2,15,k2-policy15,cosine,1.0,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9916481034579037,-0.003053444712204318,-0.0005747126436781436,0.012586111922904803,0.9917542016806722,0.14852941176470588,39.03230038499987
17,2,9,k2-policy09,cosine,0.75,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9914869564426918,-0.0032145917274162363,-0.017879948914431676,0.013386017563382651,0.9915966386554622,0.14558823529411766,39.11925710500009
18,2,26,k2-policy26,sqeuclidean,0.75,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9911482724561009,-0.003553275714007017,-0.017879948914431676,0.019109196546930225,0.991202731092437,0.12941176470588237,38.98898727699998
19,2,3,k2-policy03,cosine,0.5,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9909584950763537,-0.003743053093754286,-0.017879948914431676,0.015854165939285975,0.9910714285714286,0.1411764705882353,41.140231803999995
20,2,32,k2-policy32,sqeuclidean,1.0,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9907063599873682,-0.003995188182739657,-0.017879948914431676,0.019130857284846682,0.9907563025210085,0.1323529411764706,38.342098262000036
21,2,20,k2-policy20,sqeuclidean,0.5,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9902151711089071,-0.004486377061200891,-0.017879948914431676,0.01981787620047178,0.9902836134453783,0.16029411764705884,38.73667990800004
22,2,8,k2-policy08,cosine,0.75,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9868281152129325,-0.007873432957175526,-0.0182961124896609,0.024212571419998975,0.9869485294117647,0.22058823529411764,39.33518918400023
23,2,14,k2-policy14,cosine,1.0,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9859024429962062,-0.008799105173901704,-0.0182961124896609,0.02583080868391779,0.9860819327731093,0.22941176470588234,39.94691433199978
24,2,23,k2-policy23,sqeuclidean,0.5,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.98571085048009,-0.008990697690017951,-0.017879948914431676,0.032494179217351225,0.9860294117647059,0.22205882352941175,39.46764387200028
25,2,2,k2-policy02,cosine,0.5,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9849335365543166,-0.00976801161579135,-0.018569393569393577,0.026984080948888944,0.9851102941176471,0.24558823529411763,39.498278432999996
26,2,29,k2-policy29,sqeuclidean,0.75,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9792344300429764,-0.015467118127131453,-0.03632945437950998,0.04968161592765335,0.9805409663865545,0.23088235294117648,37.790841007999916
27,2,11,k2-policy11,cosine,0.75,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9772051237929635,-0.017496424377144455,-0.053708791208791205,0.04432553866164875,0.9782563025210085,0.3235294117647059,39.557011336000414
28,2,5,k2-policy05,cosine,0.5,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9770810375240832,-0.017620510646024875,-0.05528735632183912,0.036209055345848805,0.9775210084033614,0.3323529411764706,39.736032859999796
29,2,17,k2-policy17,cosine,1.0,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9750273038337448,-0.019674244336363084,-0.05528735632183901,0.04792586896504098,0.9764180672268908,0.3514705882352941,38.99605608699994
30,2,22,k2-policy22,sqeuclidean,0.5,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.967090705271723,-0.02761084289838492,-0.09025769567844104,0.05503220050838786,0.9683823529411765,0.4514705882352941,40.72750882800028
31,2,35,k2-policy35,sqeuclidean,1.0,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9656070600529083,-0.029094488117199665,-0.11681634413137407,0.0674203370234895,0.9685136554621848,0.31029411764705883,39.34553838900001
32,2,28,k2-policy28,sqeuclidean,0.75,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.9521712113700855,-0.04253033680002233,-0.14839404604110473,0.07388887577750668,0.955593487394958,0.49117647058823527,39.23037876199987
33,2,4,k2-policy04,cosine,0.5,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.950036136141386,-0.04466541202872193,-0.11609848484848484,0.06198726118475943,0.9523371848739495,0.6602941176470588,40.46556678399975
34,2,10,k2-policy10,cosine,0.75,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.9482757783388646,-0.0464257698312433,-0.1333333333333333,0.06813165761934033,0.9511029411764705,0.6529411764705882,40.22926316799976
35,2,16,k2-policy16,cosine,1.0,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.9387593745814234,-0.05594217358868456,-0.14331867632785927,0.07639917365158819,0.9426207983193278,0.6838235294117647,39.80301411900018
