episode_id,subject_id,k,seed,scope,n_calibration_trials,n_evaluation_trials,p0_accuracy,p0_balanced_accuracy,p0_macro_f1,p0_macro_precision,p0_macro_recall,p1_accuracy,p1_balanced_accuracy,p1_macro_f1,p1_macro_precision,p1_macro_recall,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_macro_precision,delta_macro_recall
grabmyo-S12-K2-seed3401,12,2,3401,all_eval,8,76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S12-K2-seed3401,12,2,3401,same_session_holdout,8,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S12-K2-seed3401,12,2,3401,cross_session,8,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S13-K2-seed3401,13,2,3401,all_eval,8,76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S13-K2-seed3401,13,2,3401,same_session_holdout,8,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S13-K2-seed3401,13,2,3401,cross_session,8,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S25-K2-seed3401,25,2,3401,all_eval,8,76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S25-K2-seed3401,25,2,3401,same_session_holdout,8,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S25-K2-seed3401,25,2,3401,cross_session,8,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S26-K2-seed3401,26,2,3401,all_eval,8,76,0.9868421052631579,0.9868421052631579,0.9868329868329868,0.9875,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868329868329868,0.9875,0.9868421052631579,0.0,0.0,0.0,0.0,0.0
grabmyo-S26-K2-seed3401,26,2,3401,same_session_holdout,8,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S26-K2-seed3401,26,2,3401,cross_session,8,56,0.9821428571428571,0.9821428571428572,0.9821200510855683,0.9833333333333334,0.9821428571428572,0.9821428571428571,0.9821428571428572,0.9821200510855683,0.9833333333333334,0.9821428571428572,0.0,0.0,0.0,0.0,0.0
grabmyo-S29-K2-seed3401,29,2,3401,all_eval,8,76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S29-K2-seed3401,29,2,3401,same_session_holdout,8,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S29-K2-seed3401,29,2,3401,cross_session,8,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S33-K2-seed3401,33,2,3401,all_eval,8,76,0.9342105263157895,0.9342105263157895,0.9330514446793516,0.9479166666666666,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9330514446793516,0.9479166666666666,0.9342105263157895,0.0,0.0,0.0,0.0,0.0
grabmyo-S33-K2-seed3401,33,2,3401,same_session_holdout,8,20,0.95,0.95,0.9494949494949495,0.9583333333333334,0.95,0.95,0.95,0.9494949494949495,0.9583333333333334,0.95,0.0,0.0,0.0,0.0,0.0
grabmyo-S33-K2-seed3401,33,2,3401,cross_session,8,56,0.9285714285714286,0.9285714285714286,0.9270833333333334,0.9444444444444444,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9270833333333334,0.9444444444444444,0.9285714285714286,0.0,0.0,0.0,0.0,0.0
grabmyo-S34-K2-seed3401,34,2,3401,all_eval,8,76,0.9868421052631579,0.9868421052631579,0.9868329868329868,0.9875,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868329868329868,0.9875,0.9868421052631579,0.0,0.0,0.0,0.0,0.0
grabmyo-S34-K2-seed3401,34,2,3401,same_session_holdout,8,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S34-K2-seed3401,34,2,3401,cross_session,8,56,0.9821428571428571,0.9821428571428572,0.9821200510855683,0.9833333333333334,0.9821428571428572,0.9821428571428571,0.9821428571428572,0.9821200510855683,0.9833333333333334,0.9821428571428572,0.0,0.0,0.0,0.0,0.0
grabmyo-S35-K2-seed3401,35,2,3401,all_eval,8,76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S35-K2-seed3401,35,2,3401,same_session_holdout,8,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S35-K2-seed3401,35,2,3401,cross_session,8,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S41-K2-seed3401,41,2,3401,all_eval,8,76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S41-K2-seed3401,41,2,3401,same_session_holdout,8,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S41-K2-seed3401,41,2,3401,cross_session,8,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S12-K2-seed3402,12,2,3402,all_eval,8,76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S12-K2-seed3402,12,2,3402,same_session_holdout,8,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S12-K2-seed3402,12,2,3402,cross_session,8,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
grabmyo-S13-K2-seed3402,13,2,3402,all_eval,8,76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
