subject_id,k,episode_count,p0_macro_f1_mean,p1_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_std,p0_balanced_accuracy_mean,p1_balanced_accuracy_mean,delta_balanced_accuracy_mean
12,2,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
12,3,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
13,2,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
13,3,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
25,2,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
25,3,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
26,2,20,0.9821200510855682,0.9821200510855682,0.0,0.0,0.9821428571428573,0.9821428571428573,0.0
26,3,20,0.9821200510855682,0.9821200510855682,0.0,0.0,0.9821428571428573,0.9821428571428573,0.0
29,2,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
29,3,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
33,2,20,0.9270833333333334,0.9270833333333334,0.0,0.0,0.9285714285714286,0.9285714285714286,0.0
33,3,20,0.9270833333333334,0.9270833333333334,0.0,0.0,0.9285714285714286,0.9285714285714286,0.0
34,2,20,0.9821200510855682,0.9821200510855682,0.0,0.0,0.9821428571428573,0.9821428571428573,0.0
34,3,20,0.9821200510855682,0.9821200510855682,0.0,0.0,0.9821428571428573,0.9821428571428573,0.0
35,2,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
35,3,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
41,2,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
41,3,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
