k,arm,score_name,threshold,coverage,selective_risk,selective_accuracy,accepted_count,abstained_count
2,p0,max_probability,0.5348895015423892,1.0,0.007518796992481203,0.9924812030075187,532,0
2,p0,max_probability,0.8540393179977888,0.9887218045112782,0.005703422053231939,0.9942965779467681,526,6
2,p0,max_probability,0.9299042937556292,0.9793233082706767,0.003838771593090211,0.9961612284069098,521,11
2,p0,max_probability,0.9637556792054838,0.9699248120300752,0.001937984496124031,0.998062015503876,516,16
2,p0,max_probability,0.9727206424109235,0.9586466165413534,0.0,1.0,510,22
2,p0,max_probability,0.9765138898937534,0.9492481203007519,0.0,1.0,505,27
2,p0,max_probability,0.9812237742148996,0.9398496240601504,0.0,1.0,500,32
2,p0,max_probability,0.990753009790297,0.9285714285714286,0.0,1.0,494,38
2,p0,max_probability,0.9922391968835385,0.9191729323308271,0.0,1.0,489,43
2,p0,max_probability,0.9954107119846273,0.9097744360902256,0.0,1.0,484,48
2,p0,max_probability,0.9970510650180258,0.8984962406015038,0.0,1.0,478,54
2,p0,max_probability,0.9972317852320716,0.8890977443609023,0.0,1.0,473,59
2,p0,max_probability,0.9978853588922213,0.8796992481203008,0.0,1.0,468,64
2,p0,max_probability,0.9983030165116951,0.868421052631579,0.0,1.0,462,70
2,p0,max_probability,0.9985526185353826,0.8590225563909775,0.0,1.0,457,75
2,p0,max_probability,0.9987718791271923,0.849624060150376,0.0,1.0,452,80
2,p0,max_probability,0.9988901296922067,0.8402255639097744,0.0,1.0,447,85
2,p0,max_probability,0.999080299418052,0.8289473684210527,0.0,1.0,441,91
2,p0,max_probability,0.9992151121494511,0.8195488721804511,0.0,1.0,436,96
2,p0,max_probability,0.999312271602547,0.8101503759398496,0.0,1.0,431,101
2,p0,max_probability,0.9994396417586056,0.7988721804511278,0.0,1.0,425,107
2,p0,max_probability,0.9994913770672128,0.7894736842105263,0.0,1.0,420,112
2,p0,max_probability,0.9995316738971189,0.7800751879699248,0.0,1.0,415,117
2,p0,max_probability,0.9995790040360326,0.768796992481203,0.0,1.0,409,123
2,p0,max_probability,0.9996431025656596,0.7593984962406015,0.0,1.0,404,128
2,p0,max_probability,0.9996841955575342,0.75,0.0,1.0,399,133
2,p0,max_probability,0.9997227320957645,0.7387218045112782,0.0,1.0,393,139
2,p0,max_probability,0.999738126248281,0.7293233082706767,0.0,1.0,388,144
2,p0,max_probability,0.9997582985940968,0.7199248120300752,0.0,1.0,383,149
2,p0,max_probability,0.9998010631951341,0.7105263157894737,0.0,1.0,378,154
2,p0,max_probability,0.9998200237160872,0.6992481203007519,0.0,1.0,372,160
2,p0,max_probability,0.9998482468861501,0.6898496240601504,0.0,1.0,367,165
2,p0,max_probability,0.9998645276917489,0.6804511278195489,0.0,1.0,362,170
2,p0,max_probability,0.9998767556938818,0.6691729323308271,0.0,1.0,356,176
2,p0,max_probability,0.9998832220449165,0.6597744360902256,0.0,1.0,351,181
2,p0,max_probability,0.9998953300806356,0.650375939849624,0.0,1.0,346,186
2,p0,max_probability,0.9999068112585296,0.6390977443609023,0.0,1.0,340,192
2,p0,max_probability,0.9999211976192145,0.6296992481203008,0.0,1.0,335,197
2,p0,max_probability,0.9999334348136037,0.6203007518796992,0.0,1.0,330,202
2,p0,max_probability,0.9999402143933938,0.6090225563909775,0.0,1.0,324,208
2,p0,max_probability,0.9999523814797432,0.599624060150376,0.0,1.0,319,213
2,p0,max_probability,0.9999604455672861,0.5902255639097744,0.0,1.0,314,218
2,p0,max_probability,0.9999628741082117,0.5789473684210527,0.0,1.0,308,224
2,p0,max_probability,0.9999667896523947,0.5695488721804511,0.0,1.0,303,229
