combo_id,feature_arm,feature_dimension,model_id,fold_id,status,train_rows,validation_rows,train_subjects,validation_subjects,validation_repetitions,fit_predict_seconds,warning_count,warning_messages,window_accuracy,window_balanced_accuracy,window_macro_f1,window_weighted_f1,window_macro_precision,window_macro_recall,window_cohen_kappa,repetition_accuracy,repetition_balanced_accuracy,repetition_macro_f1,repetition_weighted_f1,repetition_macro_precision,repetition_macro_recall,repetition_cohen_kappa,subject_macro_f1_mean,subject_macro_f1_std,subject_balanced_accuracy_mean
F-ALL14__dummy_most_frequent,F-ALL14,42,dummy_most_frequent,0,COMPLETED,29397,8260,25,7,140,0.025405359999695065,0,[],0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.09999999999999999,1.3877787807814457e-17,0.25
F-ALL14__dummy_most_frequent,F-ALL14,42,dummy_most_frequent,1,COMPLETED,30577,7080,26,6,120,0.02520656099977714,0,[],0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.09999999999999999,1.3877787807814457e-17,0.25
F-ALL14__dummy_most_frequent,F-ALL14,42,dummy_most_frequent,2,COMPLETED,30680,6977,26,6,119,0.027684629000304994,0,[],0.2536906980077397,0.25,0.1011775465874014,0.10267120966587386,0.06342267450193492,0.25,0.0,0.25210084033613445,0.25,0.10067114093959731,0.10151711691387964,0.06302521008403361,0.25,0.0,0.10069444444444443,0.0015528249843748537,0.25
F-ALL14__dummy_most_frequent,F-ALL14,42,dummy_most_frequent,3,COMPLETED,30577,7080,26,6,120,0.025055439999960072,0,[],0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.09999999999999999,1.3877787807814457e-17,0.25
F-ALL14__dummy_most_frequent,F-ALL14,42,dummy_most_frequent,4,COMPLETED,29397,8260,25,7,140,0.024283030000333383,0,[],0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.09999999999999999,1.3877787807814457e-17,0.25
F-ALL14__dummy_stratified,F-ALL14,42,dummy_stratified,0,COMPLETED,29397,8260,25,7,140,0.027234852999754366,0,[],0.24915254237288137,0.24915254237288134,0.24905947739661216,0.24905947739661216,0.2490525110082005,0.24915254237288134,-0.001129943502824915,0.2857142857142857,0.2857142857142857,0.2776911973893398,0.2776911973893398,0.282660155936018,0.2857142857142857,0.04761904761904767,0.2629148629148629,0.06758263020239921,0.2857142857142857
F-ALL14__dummy_stratified,F-ALL14,42,dummy_stratified,1,COMPLETED,30577,7080,26,6,120,0.027373611999792047,0,[],0.24378531073446327,0.24378531073446327,0.2437511857701321,0.24375118577013208,0.24384610912058047,0.24378531073446327,-0.008286252354049006,0.19166666666666668,0.19166666666666665,0.19096133751306166,0.19096133751306166,0.19146825396825398,0.19166666666666665,-0.07777777777777772,0.1829765142265142,0.04497811495663208,0.19166666666666665
F-ALL14__dummy_stratified,F-ALL14,42,dummy_stratified,2,COMPLETED,30680,6977,26,6,119,0.02772402599975976,0,[],0.2532607137738283,0.25344183084528593,0.2533484226785854,0.2531913109546311,0.2532769583987339,0.25344183084528593,0.004334507418782496,0.2857142857142857,0.28706896551724137,0.28445484597176485,0.28326346225558874,0.28290343915343913,0.28706896551724137,0.047820766261884584,0.2855688293188294,0.13290674146197803,0.28958333333333336
F-ALL14__dummy_stratified,F-ALL14,42,dummy_stratified,3,COMPLETED,30577,7080,26,6,120,0.04376257200010514,0,[],0.24562146892655368,0.24562146892655368,0.24558462432336103,0.245584624323361,0.24558896605860045,0.24562146892655368,-0.0058380414312617646,0.275,0.27499999999999997,0.27399845916795074,0.2739984591679507,0.27777851458885944,0.27499999999999997,0.033333333333333326,0.2607461982461982,0.08764301364230634,0.27499999999999997
F-ALL14__dummy_stratified,F-ALL14,42,dummy_stratified,4,COMPLETED,29397,8260,25,7,140,0.04152765900016675,0,[],0.24685230024213076,0.24685230024213076,0.246795398492389,0.24679539849238896,0.24678086523111903,0.24685230024213076,-0.0041969330104922875,0.2,0.2,0.19922114811930178,0.19922114811930178,0.19938080495356036,0.2,-0.06666666666666665,0.1864655186083757,0.09724888241447192,0.19999999999999998
F-TD8__lda_shrinkage,F-TD8,24,lda_shrinkage,0,COMPLETED,29397,8260,25,7,140,1.0265572710000015,1,['datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).'],0.6056900726392251,0.6056900726392251,0.6168860298345328,0.6168860298345327,0.6430971226190674,0.6056900726392251,0.4742534301856336,0.6857142857142857,0.6857142857142857,0.6909667639793398,0.6909667639793398,0.7059346301965044,0.6857142857142857,0.5809523809523809,0.6459529557743844,0.12122915988245012,0.6857142857142857
F-TD8__lda_shrinkage,F-TD8,24,lda_shrinkage,1,COMPLETED,30577,7080,26,6,120,0.5156806629997845,0,[],0.5901129943502825,0.5901129943502824,0.5850130397098667,0.5850130397098667,0.599462612851209,0.5901129943502824,0.4534839924670433,0.65,0.65,0.6382047071702244,0.6382047071702244,0.6414835164835164,0.65,0.5333333333333333,0.6187691325558972,0.13382803706168253,0.65
F-TD8__lda_shrinkage,F-TD8,24,lda_shrinkage,2,COMPLETED,30680,6977,26,6,119,0.5815078519999588,0,[],0.6515694424537767,0.6509385513363082,0.6563594559422448,0.6579427874036597,0.6758074155542725,0.6509385513363082,0.535858045370088,0.7478991596638656,0.7485632183908046,0.7504070392667263,0.7511874829027884,0.797077922077922,0.7485632183908046,0.6643159379407617,0.7116422316789964,0.187593578694297,0.7416666666666667
F-TD8__lda_shrinkage,F-TD8,24,lda_shrinkage,3,COMPLETED,30577,7080,26,6,120,0.38483119199963767,0,[],0.6217514124293785,0.6217514124293785,0.631424252136755,0.631424252136755,0.6550967594033392,0.6217514124293785,0.4956685499058381,0.7,0.7,0.7049874844741109,0.704987484474111,0.7258431085043988,0.7,0.6,0.6695345164095164,0.12743657622952656,0.7000000000000001
F-TD8__lda_shrinkage,F-TD8,24,lda_shrinkage,4,COMPLETED,29397,8260,25,7,140,0.2724073770000359,0,[],0.5438256658595642,0.5438256658595642,0.557248666930627,0.557248666930627,0.5913174914612522,0.5438256658595642,0.3917675544794189,0.5928571428571429,0.5928571428571429,0.6026239038404678,0.6026239038404678,0.6310209810874705,0.5928571428571429,0.4571428571428572,0.5402766875981162,0.24314020161626615,0.5928571428571429
F-SP6__lda_shrinkage,F-SP6,18,lda_shrinkage,0,COMPLETED,29397,8260,25,7,140,0.14230132000011508,0,[],0.5295399515738499,0.5295399515738499,0.5406249257689832,0.5406249257689832,0.5646700326492725,0.5295399515738499,0.3727199354317998,0.5928571428571429,0.5928571428571429,0.5937187921727396,0.5937187921727396,0.601755677039529,0.5928571428571429,0.4571428571428572,0.558511841124623,0.18887262427979107,0.5928571428571429
