subject_id,n_repetitions,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,cohen_kappa,split_name
1,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,train_oof
2,20,0.7,0.7000000000000001,0.6996753246753247,0.6996753246753247,0.7738095238095237,0.7000000000000001,0.6,train_oof
3,19,0.9473684210526315,0.95,0.9444444444444444,0.9473684210526315,0.95,0.95,0.929889298892989,train_oof
4,20,0.65,0.65,0.5845588235294118,0.5845588235294118,0.6041666666666667,0.65,0.5333333333333333,train_oof
5,20,0.75,0.75,0.7113997113997114,0.7113997113997114,0.8472222222222223,0.75,0.6666666666666667,train_oof
7,20,0.9,0.9,0.8958333333333334,0.8958333333333334,0.9285714285714286,0.9,0.8666666666666667,train_oof
8,20,0.65,0.65,0.5926573426573427,0.5926573426573427,0.5520833333333334,0.65,0.5333333333333333,train_oof
9,20,0.8,0.8,0.7936507936507937,0.7936507936507936,0.8888888888888888,0.8,0.7333333333333334,train_oof
11,20,0.9,0.9,0.9027777777777778,0.9027777777777779,0.9285714285714286,0.9,0.8666666666666667,train_oof
12,20,0.95,0.95,0.9494949494949495,0.9494949494949495,0.9583333333333334,0.95,0.9333333333333333,train_oof
13,20,0.55,0.55,0.46031746031746035,0.4603174603174603,0.47115384615384615,0.55,0.4,train_oof
14,20,0.55,0.55,0.4649122807017544,0.4649122807017544,0.5892857142857143,0.55,0.4,train_oof
16,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,train_oof
17,20,0.95,0.95,0.9494949494949495,0.9494949494949495,0.9583333333333334,0.95,0.9333333333333333,train_oof
18,20,0.55,0.55,0.5252747252747253,0.5252747252747253,0.55,0.55,0.4,train_oof
19,20,0.95,0.95,0.9494949494949495,0.9494949494949495,0.9583333333333334,0.95,0.9333333333333333,train_oof
20,20,0.8,0.8,0.7529137529137528,0.7529137529137528,0.8645833333333334,0.8,0.7333333333333334,train_oof
22,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,train_oof
24,20,0.75,0.75,0.6666666666666666,0.6666666666666666,0.625,0.75,0.6666666666666667,train_oof
26,20,0.9,0.8999999999999999,0.8994949494949496,0.8994949494949495,0.9083333333333334,0.8999999999999999,0.8666666666666667,train_oof
27,20,0.95,0.95,0.9494949494949495,0.9494949494949495,0.9583333333333334,0.95,0.9333333333333333,train_oof
28,20,0.8,0.8,0.761904761904762,0.7619047619047619,0.8888888888888888,0.8,0.7333333333333334,train_oof
29,20,0.8,0.8,0.761904761904762,0.7619047619047619,0.8888888888888888,0.8,0.7333333333333334,train_oof
30,20,0.95,0.95,0.9494949494949495,0.9494949494949495,0.9583333333333334,0.95,0.9333333333333333,train_oof
31,20,0.35,0.35,0.2744360902255639,0.27443609022556387,0.3392857142857143,0.35,0.1333333333333333,train_oof
32,20,0.65,0.65,0.5928571428571429,0.5928571428571429,0.5611111111111111,0.65,0.5333333333333333,train_oof
33,20,0.5,0.5,0.375,0.375,0.3333333333333333,0.5,0.33333333333333337,train_oof
34,20,0.75,0.75,0.7470238095238094,0.7470238095238095,0.875,0.75,0.6666666666666667,train_oof
36,20,0.7,0.7,0.6284722222222222,0.6284722222222222,0.6136363636363636,0.7,0.6,train_oof
37,20,0.75,0.75,0.7222222222222222,0.7222222222222221,0.875,0.75,0.6666666666666667,train_oof
38,20,0.65,0.65,0.5845588235294118,0.5845588235294118,0.6041666666666667,0.65,0.5333333333333333,train_oof
39,20,0.65,0.65,0.5705128205128205,0.5705128205128205,0.5178571428571428,0.65,0.5333333333333333,train_oof
