rank,k,candidate_index,policy_id,distance_metric,subject_prototype_weight,personalization_blend_weight,temperature,selection_scope,episode_count,subject_count,seed_count,p0_macro_f1_mean,p1_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_p10,delta_macro_f1_std,p1_balanced_accuracy_mean,harm_episode_fraction,elapsed_seconds
1,2,10,k2-policy10,cosine,0.75,0.75,0.5,all_eval,640,32,20,0.8011657027867966,0.8220069275342713,0.020841224747474747,-0.08571428571428574,0.118936191899825,0.8456380208333332,0.25,16.88099888599993
2,2,16,k2-policy16,cosine,1.0,0.75,0.5,all_eval,640,32,20,0.8011657027867966,0.8204924806096681,0.019326777822871573,-0.08755952380952382,0.13023689652551,0.8438802083333332,0.2609375,16.15116576999992
3,2,17,k2-policy17,cosine,1.0,0.75,1.0,all_eval,640,32,20,0.8011657027867966,0.8195979606331167,0.018432257846320344,-0.07738095238095233,0.07790667998633577,0.8464192708333333,0.128125,15.874102483999877
4,2,11,k2-policy11,cosine,0.75,0.75,1.0,all_eval,640,32,20,0.8011657027867966,0.816356618641775,0.015190915854978348,-0.0046428571428571,0.06794794533772239,0.8438151041666666,0.10625,16.989306902000067
5,2,4,k2-policy04,cosine,0.5,0.75,0.5,all_eval,640,32,20,0.8011657027867966,0.8142784710948773,0.013112768308080803,-0.08571428571428574,0.09536703011482651,0.8406901041666666,0.2171875,16.234388626000055
6,2,14,k2-policy14,cosine,1.0,0.5,0.5,all_eval,640,32,20,0.8011657027867966,0.8140333299512987,0.01286762716450216,0.0,0.060222717169129074,0.8417317708333332,0.0921875,16.290434429000015
7,2,8,k2-policy08,cosine,0.75,0.5,0.5,all_eval,640,32,20,0.8011657027867966,0.8121165618235932,0.010950859036796533,0.0,0.05412876454525218,0.8401692708333333,0.0859375,16.206537117999915
8,2,5,k2-policy05,cosine,0.5,0.75,1.0,all_eval,640,32,20,0.8011657027867966,0.8085452178030303,0.007379515016233762,-1.1102230246251565e-16,0.05228134006221384,0.8380859375,0.1015625,16.166763512999978
9,2,2,k2-policy02,cosine,0.5,0.5,0.5,all_eval,640,32,20,0.8011657027867966,0.8068441389339828,0.005678436147186142,0.0,0.043165077405959845,0.8366536458333333,0.0765625,16.659278441000083
10,2,15,k2-policy15,cosine,1.0,0.5,1.0,all_eval,640,32,20,0.8011657027867966,0.8053772095959596,0.004211506809163055,0.0,0.03828450797254022,0.8358072916666666,0.0578125,16.179688472000066
