subject_id,k,episode_count,p0_macro_f1_mean,p1_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_std,p0_balanced_accuracy_mean,p1_balanced_accuracy_mean,delta_balanced_accuracy_mean
10,2,20,0.9161607142857143,0.8441071428571428,-0.0720535714285715,0.08478591048338517,0.9208333333333334,0.8541666666666666,-0.06666666666666668
10,3,20,0.8966666666666667,0.8625,-0.034166666666666665,0.053612550354889446,0.90625,0.86875,-0.0375
15,2,20,0.8284523809523809,0.7019101731601731,-0.12654220779220776,0.09673165455459408,0.85,0.7291666666666666,-0.12083333333333332
15,3,20,0.8666666666666666,0.6751190476190476,-0.19154761904761905,0.11383959305903112,0.88125,0.71875,-0.1625
21,2,20,0.4575892857142857,0.7551488095238096,0.29755952380952383,0.07678938252589014,0.5458333333333334,0.7874999999999999,0.24166666666666656
21,3,20,0.44333333333333336,0.6916666666666667,0.24833333333333335,0.13686976778431872,0.53125,0.7375,0.20625
23,2,20,0.375,0.4680681818181818,0.09306818181818181,0.0708984366995936,0.5,0.5583333333333333,0.05833333333333335
23,3,20,0.375,0.4580357142857143,0.0830357142857143,0.0917994361616227,0.5,0.55625,0.05625
25,2,20,0.6333333333333333,0.8752380952380954,0.24190476190476198,0.0993911096983771,0.7083333333333333,0.8791666666666667,0.1708333333333333
25,3,20,0.618452380952381,0.7513095238095238,0.13285714285714287,0.10662733118249769,0.69375,0.8,0.10625
35,2,20,0.4636363636363637,0.6056186868686868,0.14198232323232324,0.0957609794937515,0.5541666666666667,0.6416666666666666,0.08749999999999994
35,3,20,0.4395833333333333,0.5607142857142857,0.12113095238095237,0.13583008582988268,0.54375,0.625,0.08125
40,2,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
40,3,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0
6,2,20,0.9571428571428571,0.9914285714285714,0.034285714285714294,0.04199125273342593,0.9583333333333334,0.9916666666666666,0.03333333333333335
6,3,20,0.9666666666666666,0.9666666666666666,0.0,0.0,0.96875,0.96875,0.0
