k,arm,score_name,threshold_subject_count,threshold_row_count,pooled_aurc,subject_mean_aurc
2,p0,max_probability,7,83,0.058737249241428216,0.08556869717584002
2,p0,probability_margin,7,83,0.054144701838816756,0.07956907510478939
2,p0,one_minus_normalized_entropy,7,83,0.06667027652746232,0.09913205181062323
2,p1,max_probability,7,83,0.04722011684660771,0.08185183623495311
2,p1,probability_margin,7,83,0.04847264814511885,0.0829340873172042
2,p1,one_minus_normalized_entropy,7,83,0.04687856958945624,0.08171655484967173
3,p0,max_probability,7,55,0.0809454219982211,0.08867225461613217
3,p0,probability_margin,7,55,0.06669924820518863,0.08357021379980564
3,p0,one_minus_normalized_entropy,7,55,0.09846180518651611,0.10580660835762877
3,p1,max_probability,7,55,0.04833446170815463,0.08286868318756076
3,p1,probability_margin,7,55,0.05048263012018113,0.08286868318756076
3,p1,one_minus_normalized_entropy,7,55,0.0460247735697485,0.08733296890184647
