session_id,task_label,metric_id,icc_type,icc_value,icc_ci_low,icc_ci_high,icc_supportability,subjects,repetitions_per_subject,ci_method
session-1,hand_close,CH1__rms,"ICC(A,1)",0.4731491872167967,0.27936391852278497,0.5981016896797994,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,hand_close,CH1__mav,"ICC(A,1)",0.4369953706626701,0.2129733620967207,0.5887853608235583,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,hand_close,CH2__rms,"ICC(A,1)",0.38296556882419885,0.18777596292679452,0.7443479501867328,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,hand_close,CH2__mav,"ICC(A,1)",0.3350202137236352,0.15078165026941617,0.7190805665663776,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,hand_close,CH3__rms,"ICC(A,1)",0.11208858812342669,0.022980491034005773,0.5068712478831862,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,hand_close,CH3__mav,"ICC(A,1)",0.09450163733176349,0.024522019110883073,0.4056397857412137,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,rest,CH1__rms,"ICC(A,1)",0.4981455582498072,0.42633960964536116,0.6569700207904211,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,4,subject_cluster_bootstrap
session-1,rest,CH1__mav,"ICC(A,1)",0.45345716469792235,0.3899642958069535,0.5682156976692603,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,4,subject_cluster_bootstrap
session-1,rest,CH2__rms,"ICC(A,1)",0.6534955174478592,0.4615361004204078,0.7685548076142776,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,4,subject_cluster_bootstrap
session-1,rest,CH2__mav,"ICC(A,1)",0.5554501363431258,0.3689661829409812,0.6951294860720529,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,4,subject_cluster_bootstrap
session-1,rest,CH3__rms,"ICC(A,1)",0.4884021889570381,0.2259766454517606,0.5649534115038184,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,4,subject_cluster_bootstrap
session-1,rest,CH3__mav,"ICC(A,1)",0.4890964713307203,0.2119954826287037,0.5660099954335451,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,4,subject_cluster_bootstrap
session-1,wrist_extension,CH1__rms,"ICC(A,1)",0.8794725763213066,0.803103536482781,0.9096582098232469,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_extension,CH1__mav,"ICC(A,1)",0.8739013543418171,0.7982982909628223,0.902303549149213,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_extension,CH2__rms,"ICC(A,1)",0.8640450718584382,0.7993311617811149,0.9173653105732874,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_extension,CH2__mav,"ICC(A,1)",0.875643522865205,0.8158404129390823,0.9170787165640545,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_extension,CH3__rms,"ICC(A,1)",0.5531632960596308,0.39300006145167754,0.7098969884968992,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_extension,CH3__mav,"ICC(A,1)",0.46305095412789565,0.29349189105436313,0.6391761944820429,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_flexion,CH1__rms,"ICC(A,1)",0.4691101085162436,0.33419195204930363,0.560439846396196,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_flexion,CH1__mav,"ICC(A,1)",0.4340059532421902,0.31832158995273474,0.5178195701846594,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_flexion,CH2__rms,"ICC(A,1)",0.47248493201532316,0.34572562680254976,0.7053976242574358,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_flexion,CH2__mav,"ICC(A,1)",0.3858027175869706,0.2783383622588366,0.6479226257315852,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_flexion,CH3__rms,"ICC(A,1)",0.4284237433573802,0.18967243936645187,0.6799534130455587,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
session-1,wrist_flexion,CH3__mav,"ICC(A,1)",0.4111157705811502,0.18055758596830296,0.6623342152789763,SUPPORTED_BOOTSTRAP_SUBJECT_CI,40,5,subject_cluster_bootstrap
