relative_path,type,encoding,description,session_id,subject_id,gesture_id,trial_id,ok,sig_len,fs,n_sig,units,error,scan_batch
Session1/session1_participant1/session1_participant1_gesture1_trial1,wfdb_header_only_scan,binary(wfdb),"participant-existence check (session1/gesture1/trial1, mọi participant 1-43)",1,1,1,1,True,10240,2048,32,mV,,participant_existence
Session1/session1_participant1/session1_participant1_gesture1_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,1,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture1_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,1,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture1_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,1,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture1_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,1,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture1_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,1,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture1_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,1,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture2_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,2,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture2_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,2,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture2_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,2,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture2_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,2,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture2_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,2,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture2_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,2,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture2_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,2,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture3_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,3,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture3_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,3,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture3_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,3,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture3_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,3,4,True,10240,2048,32,mV,,sample_full_grid
