column,type,required
cocontraction_id,string,true
dataset_id,string,true
subject_id,string,true
session_id,string,true
protocol_id,string,true
protocol_version,string,true
repetition_id,string,true
pair_id,string,true
agonist_muscle_id,string,true
antagonist_muscle_id,string,true
side,string,true
normalization_method,string,true
mean_cci,number,false
median_cci,number,false
q90_cci,number,false
overlap_area_ratio,number,false
simultaneous_activation_duration_fraction,number,false
coactivation_load,number,false
active_duration_seconds,number,false
supportability,string,true
reason_codes,json,true
preprocessing_policy_id,string,true
source_signal_hashes,json,true
